source,destination,label
132,16,False
32,31,False
215,21,False
253,113,False
1,35,False
26,0,False
223,2,False
203,21,False
210,9,False
187,21,False
230,152,False
76,83,False
283,19,False
45,46,False
93,7,False
159,21,False
169,35,False
142,174,False
236,6,False
95,11,False
154,20,False
48,4,False
12,34,False
175,3,False
77,181,False
89,19,False
66,20,False
103,20,False
108,15,False
220,180,False
274,21,False
2,21,False
38,20,False
186,16,False
15,20,False
198,21,False
208,74,False
240,13,False
223,21,False
282,19,False
89,98,False
111,12,False
124,128,False
153,18,False
216,178,False
39,40,False
195,21,False
106,11,False
23,151,False
42,2,False
184,5,False
262,126,False
36,5,False
75,82,False
255,21,False
52,55,False
50,11,False
133,16,False
34,0,False
102,20,False
178,48,False
86,20,False
146,3,False
197,16,False
39,2,False
74,20,False
58,20,False
232,179,False
38,39,False
211,11,False
16,8,False
122,20,False
206,21,False
244,113,False
37,2,False
251,12,False
237,8,False
199,61,False
121,123,False
61,11,False
13,47,False
232,152,False
14,4,False
33,0,False
109,17,False
102,12,False
34,19,False
85,20,False
209,74,False
69,20,False
247,21,False
266,0,False
205,9,False
235,4,False
214,87,False
57,20,False
165,1,False
28,27,False
269,165,False
112,14,False
279,4,False
124,16,False
248,8,False
166,22,False
141,180,False
60,6,False
244,15,False
136,168,False
180,6,False
187,5,False
9,21,False
235,100,False
94,178,False
120,17,False
258,21,False
4,9,False
31,15,False
128,132,False
43,44,False
68,20,False
167,3,False
170,21,False
252,15,False
56,59,False
137,20,False
196,7,False
121,20,False
48,7,False
35,36,False
140,180,False
74,13,False
109,20,False
178,21,False
213,87,False
103,12,False
217,12,False
145,18,False
49,20,False
15,6,False
57,1,False
241,21,False
21,20,False
51,4,False
270,165,False
59,6,False
70,5,False
108,108,False
183,178,False
5,21,False
277,21,False
49,4,False
280,6,False
263,14,False
104,104,False
135,180,False
120,20,False
285,19,False
95,178,False
189,21,False
21,138,False
133,19,False
92,20,False
252,113,False
161,21,False
3,7,False
68,1,False
45,2,False
118,179,False
67,72,False
278,2,False
41,20,False
176,35,False
100,163,False
176,180,False
177,3,False
230,21,False
181,48,False
190,2,False
140,172,False
67,6,False
150,11,False
77,20,False
209,9,False
251,15,False
260,10,False
72,8,False
214,11,False
173,12,False
242,100,False
157,1,False
2,5,False
115,117,False
132,136,False
179,48,False
172,21,False
199,7,False
143,180,False
205,21,False
197,21,False
43,17,False
34,33,False
26,25,False
181,21,False
283,139,False
278,21,False
264,17,False
148,143,False
74,81,False
213,21,False
6,179,False
208,9,False
250,15,False
60,9,False
60,20,False
256,17,False
256,126,False
86,15,False
162,21,False
241,100,False
156,1,False
198,7,False
129,20,False
188,18,False
170,35,False
71,8,False
221,87,False
113,3,False
97,178,False
113,14,False
82,7,False
41,42,False
178,5,False
20,125,False
224,21,False
261,21,False
87,96,False
273,12,False
160,22,False
61,6,False
13,20,False
196,21,False
203,9,False
233,21,False
275,16,False
1,3,False
109,12,False
231,180,False
81,90,False
243,18,False
50,53,False
80,3,False
140,20,False
199,18,False
241,13,False
277,139,False
112,20,False
188,48,False
154,149,False
11,21,False
70,8,False
84,20,False
193,61,False
202,4,False
260,21,False
244,21,False
24,20,False
221,11,False
257,126,False
263,17,False
155,181,False
232,21,False
216,21,False
185,14,False
48,51,False
65,70,False
146,18,False
156,21,False
169,3,False
210,18,False
255,126,False
229,14,False
139,20,False
152,147,False
123,20,False
78,85,False
95,20,False
57,62,False
215,87,False
29,179,False
147,18,False
251,113,False
35,20,False
90,153,False
243,21,False
23,20,False
220,11,False
227,21,False
227,10,False
72,11,False
117,119,False
138,170,False
163,1,False
98,17,False
157,4,False
18,164,False
262,17,False
168,3,False
159,8,False
112,1,False
254,15,False
130,134,False
255,0,False
200,9,False
267,2,False
72,79,False
284,21,False
106,20,False
233,100,False
24,23,False
40,179,False
83,10,False
125,5,False
125,16,False
94,9,False
142,180,False
190,7,False
271,181,False
179,2,False
285,14,False
85,94,False
180,21,False
18,20,False
73,8,False
215,11,False
54,57,False
43,20,False
27,20,False
121,14,False
170,8,False
123,1,False
253,15,False
230,16,False
155,18,False
0,22,False
59,20,False
98,161,False
267,21,False
214,6,False
201,74,False
131,135,False
285,139,False
233,13,False
176,3,False
179,21,False
163,21,False
254,113,False
173,35,False
228,12,False
116,14,False
181,5,False
26,20,False
3,21,False
146,20,False
252,21,False
11,139,False
61,66,False
241,16,False
70,20,False
167,0,False
135,167,False
154,18,False
164,21,False
42,20,False
243,100,False
6,152,False
67,20,False
263,126,False
143,20,False
225,179,False
286,19,False
131,20,False
169,6,False
172,35,False
115,14,False
171,10,False
192,61,False
113,115,False
124,3,False
107,107,False
235,21,False
225,152,False
212,11,False
178,0,False
284,139,False
182,48,False
207,21,False
78,20,False
137,7,False
202,9,False
68,75,False
191,4,False
37,38,False
126,20,False
243,13,False
276,21,False
114,20,False
39,11,False
121,181,False
18,178,False
182,10,False
122,124,False
63,13,False
143,175,False
135,3,False
159,22,False
271,165,False
188,21,False
191,61,False
254,18,False
129,179,False
33,181,False
189,0,False
166,1,False
239,178,False
265,17,False
224,152,False
218,21,False
272,178,False
47,3,False
106,12,False
89,20,False
155,20,False
251,21,False
190,21,False
114,116,False
94,157,False
245,15,False
287,21,False
188,5,False
250,21,False
271,21,False
132,181,False
5,87,False
240,14,False
271,10,False
128,16,False
259,21,False
193,7,False
97,20,False
130,20,False
139,171,False
158,22,False
199,21,False
79,88,False
44,181,False
76,8,False
171,21,False
150,20,False
84,179,False
119,13,False
138,9,False
96,159,False
138,20,False
262,12,False
286,21,False
270,21,False
50,20,False
111,111,False
181,8,False
85,10,False
273,181,False
127,16,False
45,19,False
134,166,False
144,180,False
46,49,False
8,113,False
5,11,False
113,20,False
136,5,False
182,21,False
204,74,False
242,21,False
277,0,False
278,19,False
245,113,False
6,21,False
22,177,False
25,20,False
38,2,False
149,9,False
149,20,False
150,145,False
286,139,False
234,2,False
203,6,False
96,178,False
170,3,False
98,20,False
61,20,False
281,21,False
269,21,False
56,19,False
253,21,False
33,20,False
228,179,False
75,15,False
147,5,False
203,74,False
235,13,False
277,19,False
118,120,False
23,18,False
165,21,False
118,14,False
195,61,False
179,5,False
132,20,False
228,152,False
85,13,False
234,21,False
185,48,False
86,10,False
257,17,False
29,0,False
83,92,False
252,16,False
55,181,False
81,20,False
44,20,False
198,180,False
201,9,False
265,126,False
53,20,False
15,73,False
16,20,False
227,179,False
164,16,False
255,17,False
234,100,False
11,19,False
272,181,False
51,179,False
19,112,False
162,22,False
194,178,False
131,15,False
194,61,False
274,14,False
227,152,False
90,178,False
34,20,False
144,19,False
151,18,False
217,21,False
28,0,False
28,11,False
12,0,False
141,173,False
80,20,False
193,10,False
64,20,False
226,21,False
260,126,False
148,7,False
52,20,False
36,20,False
160,1,False
187,180,False
233,0,False
283,178,False
59,64,False
50,4,False
133,20,False
192,7,False
234,13,False
103,5,False
92,155,False
136,180,False
161,22,False
246,4,False
273,165,False
105,9,False
105,20,False
146,141,False
174,21,False
215,8,False
182,5,False
4,21,False
17,20,False
141,20,False
98,178,False
134,180,False
87,17,False
242,13,False
278,139,False
284,19,False
47,20,False
101,101,False
244,0,False
51,54,False
273,21,False
80,89,False
17,99,False
207,74,False
191,7,False
116,20,False
64,69,False
104,20,False
97,15,False
88,20,False
173,21,False
157,21,False
180,48,False
41,13,False
41,2,False
158,6,False
152,20,False
236,21,False
13,2,False
213,11,False
42,15,False
147,142,False
103,103,False
148,18,False
143,17,False
133,137,False
206,74,False
286,16,False
115,20,False
247,6,False
99,20,False
26,7,False
168,21,False
287,180,False
27,26,False
52,13,False
87,20,False
193,21,False
40,2,False
100,19,False
151,20,False
63,68,False
40,41,False
171,35,False
137,169,False
172,3,False
32,0,False
225,21,False
245,2,False
209,21,False
62,6,False
204,9,False
72,20,False
161,178,False
246,15,False
258,6,False
117,11,False
87,10,False
237,100,False
275,181,False
194,7,False
0,1,False
35,2,False
111,19,False
55,58,False
197,61,False
242,180,False
109,109,False
184,12,False
256,2,False
220,21,False
22,180,False
31,0,False
245,21,False
208,21,False
70,77,False
126,7,False
246,113,False
47,50,False
269,6,False
128,11,False
55,20,False
105,12,False
156,2,False
97,160,False
236,100,False
274,181,False
27,9,False
151,146,False
53,4,False
110,181,False
205,74,False
164,22,False
253,180,False
124,20,False
272,165,False
54,17,False
96,20,False
7,21,False
216,87,False
165,180,False
35,1,False
279,21,False
10,181,False
256,21,False
20,20,False
30,0,False
21,16,False
116,118,False
31,30,False
137,180,False
191,21,False
226,179,False
228,21,False
218,87,False
287,19,False
200,21,False
104,12,False
259,8,False
64,15,False
44,45,False
264,21,False
52,4,False
135,20,False
236,13,False
107,20,False
166,18,False
84,10,False
91,20,False
183,48,False
257,4,False
247,113,False
79,20,False
9,17,False
239,21,False
19,20,False
74,8,False
216,11,False
258,17,False
159,1,False
211,21,False
270,8,False
249,113,False
123,127,False
47,4,False
280,21,False
53,15,False
118,20,False
177,18,False
79,10,False
196,14,False
268,4,False
86,95,False
90,20,False
43,2,False
192,21,False
20,14,False
30,20,False
62,20,False
69,8,False
219,87,False
39,20,False
174,35,False
222,21,False
158,1,False
3,61,False
117,14,False
168,4,False
210,21,False
281,8,False
96,13,False
65,6,False
7,100,False
249,15,False
71,20,False
240,100,False
79,1,False
99,178,False
120,122,False
180,5,False
197,7,False
101,20,False
53,56,False
19,12,False
263,21,False
266,181,False
73,20,False
92,5,False
175,21,False
68,8,False
22,20,False
62,67,False
142,20,False
